상호명,서비스,음식,편의성,가격,행정동,중분류,업종,naver_map_url
목포집,1.2,0.99,0.83,1.05,종로1.2.3.4가동,일식/수산물,홍어전문,https://m.place.naver.com/restaurant/11715839
종로도담,1.77,2.39,2.27,2.9,종로1.2.3.4가동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1614498920
부추곱창,1.32,2.49,1.3,1.22,서교동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/35608570
노크,0.52,0.37,0.08,0.41,서교동,유흥주점,호프/맥주,https://m.place.naver.com/restaurant/1699175338
크리스피크림,1.37,1.17,0.95,1.25,역삼1동,패스트푸드,도너츠전문,https://m.place.naver.com/restaurant/1082473387
투뿔등심,1.1,0.94,0.89,0.87,종로1.2.3.4가동,한식,갈비/삼겹살,https://m.place.naver.com/restaurant/34541940
청년감자탕,2.19,2.68,2.68,2.49,역삼1동,한식,해장국/감자탕,https://m.place.naver.com/restaurant/1680724540
아바이순대,1.62,1.94,1.81,1.87,종로1.2.3.4가동,별식/퓨전요리,순대전문점,https://m.place.naver.com/restaurant/1834000128
센야,1.69,2.09,1.01,1.3,역삼1동,유흥주점,기타일반유흥주점,https://m.place.naver.com/restaurant/33238541
수제왕돈가스,1.45,1.36,1.4,0.96,종로1.2.3.4가동,양식,돈가스전문점,https://m.place.naver.com/restaurant/996003263
연남삼겹살,2.35,3.47,2.75,3.72,서교동,한식,갈비/삼겹살,https://m.place.naver.com/restaurant/1728895666
화로흑돈돈,1.0,0.76,0.71,0.8,종로1.2.3.4가동,한식,갈비/삼겹살,https://m.place.naver.com/restaurant/36997725
홍대원조통골뱅이,3.09,2.64,3.16,2.66,서교동,유흥주점,호프/맥주,https://m.place.naver.com/restaurant/1469975747
어글리스토브강남역점,2.18,2.32,1.12,1.64,역삼1동,양식,기타전문서양음식점,https://m.place.naver.com/restaurant/35603926
가배도,1.87,2.59,1.13,1.92,역삼1동,양식,정통양식/경양식,https://m.place.naver.com/restaurant/1635742649
서교주담,3.15,3.66,2.13,2.93,서교동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1927755569
신교칼국수,1.14,1.12,0.86,1.44,서교동,분식,국수/만두/칼국수,https://m.place.naver.com/restaurant/37750268
최고당돈가스,1.3,1.21,1.18,1.42,서교동,양식,돈가스전문점,https://m.place.naver.com/restaurant/1105081383
영덕물회,1.16,0.88,0.81,0.9,역삼1동,일식/수산물,음식점-일식,https://m.place.naver.com/restaurant/1742005391
반쿤콴비케이케이,1.89,2.4,2.02,2.35,종로1.2.3.4가동,별식/퓨전요리,동남아음식전문점,https://m.place.naver.com/restaurant/417452260
어메이징농카이,1.27,1.57,1.15,1.16,서교동,별식/퓨전요리,동남아음식전문점,https://m.place.naver.com/restaurant/35263191
청춘불닭,1.07,0.84,0.76,0.87,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1828389516
한솥,1.88,1.92,1.25,1.86,역삼1동,패스트푸드,도시락전문점,https://m.place.naver.com/restaurant/37370527
미랑,1.52,1.8,1.23,1.54,역삼1동,한식,갈비/삼겹살,https://m.place.naver.com/restaurant/386982725
박가부대,1.0,0.76,0.73,0.77,역삼1동,한식,부대찌개/섞어찌개,https://m.place.naver.com/restaurant/1473760146
오랜치,1.02,1.15,0.62,0.67,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/18399867
인계동껍데기,0.67,0.44,0.47,0.57,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1982913637
호남집,0.99,0.74,0.76,0.78,종로1.2.3.4가동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/20735513
참치스토리,2.74,2.06,2.05,2.08,역삼1동,일식/수산물,음식점-일식,https://m.place.naver.com/restaurant/1317328791
캘리술집,1.05,0.79,0.66,0.73,서교동,유흥주점,기타일반유흥주점,https://m.place.naver.com/restaurant/1644725816
한옥집김치찜GFC몰점,1.77,1.43,1.62,1.52,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1155739413
오한수우육면가,1.3,1.22,1.44,1.23,종로1.2.3.4가동,분식,국수/만두/칼국수,https://m.place.naver.com/restaurant/1244753439
종로빈대떡,1.32,1.22,1.06,1.35,서교동,한식,파전전문,https://m.place.naver.com/restaurant/20913783
